,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,005957,华夏聚丰稳健混合发起式(FOF)A,2021-11-10,1.5785,1.5785,-0.67,1.36,2.68,-0.37,15.06,24.40,54.41,57.82,14.05,57.85,,0.08%
1,2,005958,华夏聚丰稳健混合发起式(FOF)C,2021-11-10,1.5747,1.5747,-0.67,1.36,2.67,-0.39,15.03,24.34,54.28,57.47,14,57.47,,0.00%
2,3,011684,平安养老2045五年持有混合(FOF),2021-11-11,1.1364,1.1364,0.62,0.84,5.75,1.09,14.89,,,,,13.64,,0.08%
3,4,007238,平安养老2035(FOF)A,2021-11-11,1.5679,1.5679,0.48,0.69,4.79,1.38,14.51,18.52,51.55,,12.05,56.79,,0.08%
4,5,007239,平安养老2035(FOF)C,2021-11-11,1.5585,1.5585,0.47,0.69,4.77,1.31,14.36,18.22,50.78,,11.80,55.85,,0.00%
5,6,006891,华夏养老2050五年(FOF),2021-11-11,1.6934,1.6934,0.49,0.60,4.27,1,11.47,16.08,52.61,,7.54,69.34,,0.15%
6,7,007896,易方达优选多资产三个月持有混合(FOF)A,2021-11-11,1.3788,1.3788,0.36,0.44,4.45,0.23,11.31,15.53,,,10.23,37.88,,0.12%
7,8,007241,中欧预见养老2050五年持有(FOF)A,2021-11-11,1.6725,1.6725,1.43,1.52,2.42,1.53,11.18,18.12,55.36,,11.20,67.25,,0.15%
8,9,007897,易方达优选多资产三个月持有混合(FOF)C,2021-11-11,1.3699,1.3699,0.36,0.43,4.41,0.12,11.08,15.06,,,9.84,36.99,,0.00%
9,10,007242,中欧预见养老2050五年持有(FOF)C,2021-11-11,1.6693,1.6693,1.43,1.51,2.39,1.45,11.01,17.77,54.44,,10.91,66.93,,0.00%
10,11,011593,农银汇理安瑞一年持有混合(FOF),2021-11-10,1.1077,1.1077,-0.06,1.39,3.38,-1.30,11.01,,,,,10.77,,0.08%
11,12,952013,国君资管君得益三个月持有混合A,2021-11-11,1.5984,1.8864,0.92,0.85,4.04,0.59,10.55,,,,7.96,14.14,,0.12%
