,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,167001,平安鼎泰混合(LOF),2021-11-12,2.2680,2.2680,0.12,2.06,9.07,7.32,78.04,96.50,196.47,266.10,68.64,126.80,96.0581,0.15%
1,2,167002,平安鼎越混合(LOF),2021-11-12,3.1435,3.1435,0.09,2.84,10.12,8.34,73.58,91.75,193.29,285.66,64.94,214.35,91.3152,0.15%
2,3,501057,汇添富中证新能源汽车A,2021-11-15,3.2623,3.2623,-3.49,-4.78,3.64,2.41,61.13,81.93,284.71,300.68,52.66,226.23,88.3959,0.12%
3,4,160634,鹏华中证环保产业指数(LOF),2021-11-12,1.8460,1.3150,0.71,2.56,12.15,11.61,61.08,81.51,166.93,178.07,57.51,40.65,80.9804,0.12%
4,5,501058,汇添富中证新能源汽车C,2021-11-15,3.2304,3.2304,-3.49,-4.78,3.62,2.34,60.92,81.47,282.79,297.69,52.33,223.04,87.9288,0.00%
5,6,163114,申万菱信中证环保产业指数(LOF)A,2021-11-12,1.8975,3.1777,0.67,2.58,11.97,11.43,58.52,84.03,183.51,204.36,58.63,176.85,83.5461,0.12%
6,7,164905,交银国证新能源指数(LOF)A,2021-11-15,1.6524,,-3.34,-4.01,3.26,6.94,56.36,66.24,188.37,185.73,45.91,73.55,71.2927,0.12%
7,8,161028,富国中证新能源汽车指数(LOF)A,2021-11-15,1.5770,1.6580,-3.49,-4.83,3.21,2.80,56.14,76.63,264.98,297.98,48.63,140.44,83.6895,0.12%
8,9,160643,鹏华空天军工指数(LOF)A,2021-11-12,1.8447,1.8447,3.76,8.23,23.66,10.65,55.79,52.61,132.83,152.98,17.05,84.47,48.1092,0.12%
9,10,160805,长盛同智优势混合(LOF),2021-11-12,1.75,3.3806,0.50,2.69,14.15,6.85,54.24,61.12,135.61,171.05,44.99,230.60,63.4378,0.15%
10,11,168401,红土转型精选混合(LOF),2021-11-15,3.0783,3.0783,-1.29,1.32,4.17,-5.63,52.85,58.66,144.23,213.95,40.18,207.83,60.7257,0.15%
11,12,160630,鹏华国防A,2021-11-12,1.5510,1.4190,3.61,8.08,21.08,6.74,47.71,46.61,122.39,133.61,12.07,46.27,42.1233,0.12%
12,13,160225,国泰国证新能源汽车指数,2021-11-15,2.4194,2.4194,-3.24,-4,3.20,1.07,46.62,61.41,221.81,230.34,38.77,139.51,66.3207,0.12%
13,14,160421,华安智增精选混合,2021-11-15,3.0044,3.0044,-2.58,-1.89,4.90,2.01,45.37,63.06,137.60,273.50,46.55,200.44,63.9519,0.15%
14,15,163115,申万菱信中证军工指数(LOF),2021-11-12,1.4005,2.2192,3.46,7.56,19.38,8.60,43.71,40.99,103.32,122.76,13.93,99.19,37.5062,0.10%
15,16,501019,国泰国证航天军工指数,2021-11-15,1.5689,1.5689,-1.43,4.61,12.10,7.64,38.63,40.54,104.90,136.35,17.62,56.89,41.8627,0.12%
16,17,165516,信诚周期轮动混合(LOF),2021-11-12,6.3610,7.50,0.66,3.58,10.95,3.73,38.07,68.02,227.44,358.33,40.85,811.68,64.6807,0.15%
17,18,168002,国寿安保策略精选混合(LOF),2021-11-12,2.9115,2.9615,1.03,2.03,16.11,5.83,38.02,29.95,141.36,218.30,16.38,205.19,30.4962,0.15%
18,19,502003,易方达中证军工(LOF)A,2021-11-15,1.6558,1.0558,-1.39,5.58,14.85,7.71,37.93,37.19,120.88,137.44,13.52,9.51,38.9147,0.10%
19,20,161024,富国中证军工指数(LOF)A,2021-11-15,1.3980,1.8740,-1.41,5.51,14.78,7.29,36.52,34.40,91.94,98.72,11.75,112.28,36.1957,0.12%
20,21,161033,富国中证智能汽车(LOF)A,2021-11-15,2.0480,2.0480,0.64,2.50,10.17,7.28,31.79,18.79,83.02,176.01,20.26,104.80,18.0394,0.12%
21,22,165528,信诚鼎利,2021-11-12,1.7180,1.7180,0.47,5.01,16.95,1.12,30.45,25.40,85.93,116.10,12.51,71.80,24.2227,0.15%
22,23,160919,大成产业升级股票(LOF),2021-11-12,3.0230,5.0090,1.92,3.49,12.55,0.40,30.19,40.67,120.50,212.29,27.07,185.43,40.0834,0.15%
23,24,162006,长城久富混合(LOF),2021-11-15,2.6781,5.4079,0.03,2.35,3.01,0.85,29.35,30.73,125.09,166.56,28.08,426.04,29.4931,0.15%
24,25,160642,鹏华增瑞混合(LOF),2021-11-12,2.2627,2.2627,2.60,5.33,11.94,6.43,29.13,39.99,114.72,160.38,31.21,126.27,37.0171,0.15%
25,26,164206,天弘添利债券(LOF)C,2021-11-15,1.7107,2.2040,0.01,2.95,8.29,11.50,28.29,26.85,48.50,54.67,34.78,175.42,26.9199,0.00%
26,27,163209,诺安创业板指数增强(LOF)A,2021-11-15,2.2407,1.8927,-0.51,1.50,3.42,2.24,27.76,39.96,120.30,119.65,20.58,76.60,41.8352,0.12%
27,28,163503,天治核心成长混合(LOF),2021-11-15,0.7841,2.9458,-1.96,-0.91,0.24,0.15,27.66,18.91,75.10,105.69,11.46,371.44,20.9985,0.15%
28,29,161031,富国中证工业4.0指数(LOF),2021-11-15,1.2490,0.8880,-1.42,0.64,6.30,2.29,27.32,25.84,110.32,192.73,17.28,12.84,28.4268,0.12%
29,30,160314,华夏行业混合(LOF),2021-11-12,2.0480,9.8950,1.19,1.14,6.39,2.25,26.89,26.81,101.57,140.66,16.23,221.55,26.2639,0.15%
30,31,161903,万家行业优选混合(LOF),2021-11-12,2.1671,5.7846,-0.73,2.27,8.71,-6.52,23.07,18.53,139.65,299.33,10.95,1114.46,18.3138,0.15%
31,32,163116,申万中证申万电子行业投资指数(LOF)A,2021-11-12,1.1139,1.2988,0.32,2.64,10.44,-1.57,22.35,16.12,81.20,148.54,15.67,29.88,17.2650,0.12%
32,33,165313,建信优势动力混合(LOF),2021-11-12,3.6460,3.6460,0.89,1.56,11.98,3.76,21.98,35.49,129.74,208.46,21.82,264.60,35.3378,0.15%
33,34,160324,华夏磐晟混合(LOF),2021-11-15,2.2517,2.2517,-0.22,1.02,0.12,-0.35,21.26,23.63,114.02,166.25,15.58,125.17,22.9876,0.12%
34,35,502000,西部利得中证500指数增强A,2021-11-12,1.8783,1.1933,0.50,2.06,3.85,1.34,20.51,36.09,113.64,159.29,28.90,28.49,34.4524,0.10%
35,36,168105,九泰泰富灵活配置混合(LOF),2021-11-15,2.2877,2.2877,-0.58,3.43,3.97,2.94,20.34,37.43,113.44,161.18,27.59,128.77,36.8236,0.15%
36,37,161217,国投瑞银中证资源指数,2021-11-15,1.2350,1.2350,-1.98,-3.44,-8.18,-4.19,20.25,55.93,110.03,103.46,39.71,23.50,53.2847,0.12%
37,38,160221,国泰国证有色金属行业指数(LOF),2021-11-15,1.4973,1.0729,-2.32,-3.48,-5.44,-8.73,20.21,56.57,121.36,111.61,35.80,13.52,53.4027,0.00%
38,39,161715,招商大宗商品(LOF),2021-11-15,1.5591,1.6976,-1.81,-1.47,-5.52,-2.45,20.05,46.20,91.44,96.26,38.35,81.48,43.8837,0.12%
39,40,160106,南方高增长混合(LOF),2021-11-15,1.7681,4.6941,-0.97,3.09,4.61,2.52,19.70,24.41,98.57,138.52,17.94,1112.57,25.6095,0.15%
40,41,160813,长盛同盛成长优选(LOF),2021-11-12,1.7380,4.4110,0.52,0.46,7.68,2.36,19.61,29.90,120,151.88,15.71,73.80,29.4118,0.15%
41,42,160610,鹏华动力增长混合(LOF),2021-11-12,1.4610,2.9570,0.55,2.89,10.35,-3.82,19.56,25.42,110.38,164.38,16.04,359.16,27.0598,0.15%
42,43,161037,富国中证高端制造指数增强型,2021-11-15,2.3251,2.3251,-0.84,1.08,3.67,0.85,19.48,26.39,100.11,170.80,17.19,132.51,27.6637,0.12%
43,44,160415,华安量化多因子混合(LOF),2021-11-15,2.0162,1.6422,-1.25,2.83,4.73,1.57,19.07,23.51,68.63,91.18,8.09,73.95,24.5911,0.15%
44,45,168103,九泰锐益混合(LOF),2021-11-15,2.1160,2.1160,-1.26,-1.58,0.09,1.05,18.88,32.91,104.64,148.65,17.88,111.60,33.7703,0.15%
45,46,501032,财通福盛混合发起(LOF),2021-11-15,1.5191,1.5191,-1.64,2.63,3.45,0.68,18.66,42.32,98.19,100.59,31.80,51.91,43.3411,0.15%
46,47,161039,富国中证1000指数增强(LOF)A,2021-11-15,2.06,2.06,-0.67,2.39,1.39,-1.21,17.83,24.78,89.09,121.77,22.96,106,24.5675,0.12%
47,48,165520,信诚中证800有色指数(LOF)A,2021-11-12,1.8541,1.7579,-0.38,2.56,0.88,-4.23,17.80,66.35,144.26,144.28,42.95,102.04,57.8793,0.12%
48,49,160519,博时睿利事件驱动(LOF),2021-11-15,2.1640,2.1640,-1.05,1.36,4.44,2.08,17.16,27.97,89.16,174.62,17.48,116.40,27.5219,0.15%
49,50,160637,鹏华创业板指数(LOF),2021-11-12,1.5020,0.8630,-0.07,2.18,8.68,1.56,17.16,28.70,106.97,149.81,17.80,0.73,28.1513,0.12%
50,51,160223,国泰创业板指数(LOF),2021-11-12,1.6901,1.6901,-0.07,2.17,8.18,1.26,16.83,31.42,111.16,156.85,18.95,68.99,30.6711,0.12%
51,52,160620,鹏华中证A股资源产业指数(LOF)A,2021-11-12,1.7370,1.2390,-0.06,2.12,-4.82,-0.63,16.81,47.96,81.05,89.79,36.99,30.47,42.0278,0.12%
52,53,160518,博时睿远,2021-11-15,2.5650,2.5650,-0.93,0.75,4.95,1.70,16.43,30.40,127.19,185.95,18.75,156.50,30.7576,0.15%
53,54,165524,信诚中证智能家居指数(LOF)A,2021-11-12,1.0023,0.6557,1.45,3.69,9.70,-1.74,16.41,3.10,34.22,70.21,8.01,-33.29,3.6276,0.10%
54,55,169201,浙商鼎盈事件驱动混合,2021-11-12,2.1022,2.1022,0.83,1.50,8.34,0.48,16.30,32.87,91.93,113.36,18.66,110.22,32.6393,0.15%
55,56,168101,九泰锐智事件驱动混合(LOF),2021-11-15,2.1870,2.68,-0.68,-0.86,1.11,3.26,16.27,26.48,120.08,169.20,13.73,202.09,28.3605,0.15%
56,57,161834,银华鑫锐灵活配置混合(LOF),2021-11-15,1.9440,1.9440,-0.26,1.57,2.97,6.17,16.06,31.09,141.49,143.91,25.58,94.40,29.5017,0.15%
57,58,165511,中信保诚中证500指数(LOF)A,2021-11-12,1.8161,2.1149,0.56,2.22,2.99,1.91,15.97,24.65,76.26,100.13,21.89,133.69,23.2926,0.12%
58,59,160626,鹏华信息A,2021-11-12,1.1150,2.0260,0.36,2.20,9.42,-0.62,15.78,2.48,50.35,105.19,4.60,144.73,3.4323,0.12%
59,60,502053,长盛中证全指证券指数(LOF),2021-11-12,1.0772,1.0772,-0.35,3.91,1.20,5.67,15.75,1.93,37.98,65.06,-2.07,21.60,2.2150,0.12%
60,61,501022,银华鑫盛灵活配置混合(LOF),2021-11-15,2.4440,2.4440,-0.24,1.45,2.82,5.76,15.23,28.90,137.74,203.98,23.19,144.40,27.2066,1.50%
61,62,161724,招商中证煤炭等权指数(LOF)A,2021-11-15,1.3952,1.0106,-0.70,-4.54,-18.43,-7.55,14.53,52.88,81.45,67.53,28.28,5.52,48.0394,0.10%
62,63,165523,信诚中证信息安全指数(LOF)A,2021-11-12,0.9208,0.6158,1.06,2.63,5.95,-1.62,14.53,-2.36,17.91,46.45,-0.78,-39.49,-2.6660,0.10%
63,64,160638,鹏华中证一带一路主题指数(LOF),2021-11-12,1.7270,0.7770,0.35,0.94,-2.81,1.83,14.07,29.75,67.48,82.01,24.16,-19.49,28.4015,0.12%
64,65,168102,九泰锐富事件驱动混合发起式(LOF)A,2021-11-15,1.6350,1.9690,-0.24,5.21,0.68,3.74,13.78,37.58,98.56,136.82,25.25,108.96,34.7622,0.15%
65,66,163111,申万菱信中小企业100指数(LOF)A,2021-11-12,1.6482,2.4471,0.41,1.08,6.27,2.37,13.58,13.61,69.08,101.47,9.21,123.66,14.0544,0.12%
66,67,164814,工银双债增强债券,2021-11-15,1.0840,1.7680,-0.09,0.84,1.07,3.42,13.36,9.89,26.11,47.92,10.99,100.50,9.1979,0.08%
