,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,004400,金信民兴债券A,2021-11-15,1.6195,2.7049,0.01,0.02,0.10,63.01,63,64.02,66.75,71.96,63.38,240.44,63.9826,0.08%
1,2,004401,金信民兴债券C,2021-11-15,1.6969,1.8686,0.01,0.01,0.06,62.57,62.91,63.72,65.81,70.93,63.17,97.71,63.7032,0.00%
2,3,000536,前海开源可转债债券,2021-11-15,1.4560,1.8260,-0.88,3.70,10.55,7.93,38.53,54.07,76.06,91.08,37.23,107.88,55.1215,0.08%
3,4,005793,华富可转债债券,2021-11-15,1.5817,1.5817,-0.73,2.94,9.21,9.57,37.18,26.51,44.13,65.54,21.25,58.17,26.1799,0.08%
4,5,090017,大成可转债增强债券,2021-11-12,1.7330,1.7430,1.58,4.90,11.02,10.31,34.76,32.80,60.02,71.08,33.31,74.92,32.5938,0.08%
5,6,006482,广发可转债债券A,2021-11-15,2.0542,2.0542,-0.48,5.44,12.24,11.61,34.44,46.66,94.83,106.36,39.12,106.40,47.5272,0.10%
6,7,010629,广发可转债债券E,2021-11-15,2.0504,2.0504,-0.49,5.44,12.23,11.57,34.32,,,,38.85,48.10,47.2206,0.00%
7,8,006483,广发可转债债券C,2021-11-15,2.0776,2.0776,-0.49,5.43,12.21,11.50,34.18,46.07,93.33,108.74,38.64,108.76,46.9454,0.00%
8,9,210014,金鹰元丰债券,2021-11-12,2.0198,2.4724,0.92,3.73,9.87,8.11,32.67,37.56,82.97,96.40,30.88,147.24,36.1326,0.06%
9,10,240018,华宝可转债债券A,2021-11-15,1.7302,1.7302,-0.28,3.02,7.76,4.61,31.58,30.99,65.57,100.37,29.54,73.02,30.6673,0.08%
10,11,008817,华宝可转债债券C,2021-11-15,1.7223,1.7223,-0.28,3.02,7.73,4.54,31.41,30.67,,,29.25,47.87,30.3373,0.00%
11,12,003510,长盛可转债债券A,2021-11-12,1.3961,1.7025,1.21,3.21,12.47,4.67,30.22,20.50,52.86,84.63,20.06,77.38,21.6458,0.08%
12,13,003511,长盛可转债债券C,2021-11-12,1.3979,1.7152,1.21,3.20,12.44,4.59,30.03,20.14,51.96,84.07,19.75,79.16,21.2803,0.00%
