,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,501057,汇添富中证新能源汽车A,2021-11-15,3.2623,3.2623,-3.49,-4.78,3.64,2.41,61.13,81.93,284.71,300.68,52.66,226.23,88.3959,0.12%
1,2,160634,鹏华中证环保产业指数(LOF),2021-11-12,1.8460,1.3150,0.71,2.56,12.15,11.61,61.08,81.51,166.93,178.07,57.51,40.65,80.9804,0.12%
2,3,501058,汇添富中证新能源汽车C,2021-11-15,3.2304,3.2304,-3.49,-4.78,3.62,2.34,60.92,81.47,282.79,297.69,52.33,223.04,87.9288,0.00%
3,4,010805,东财新能源车A,2021-11-15,1.6394,1.6394,-3.52,-4.82,3.22,3.10,60.66,,,,55.69,63.94,69.93,0.12%
4,5,010806,东财新能源车C,2021-11-15,1.6335,1.6335,-3.53,-4.83,3.19,3,60.35,,,,55.16,63.35,69.32,0.00%
5,6,011102,天弘中证光伏产业指数A,2021-11-15,1.4156,1.4156,-3.50,-1.72,0.67,6.97,59.77,,,,,41.56,46.7,0.10%
6,7,011103,天弘中证光伏产业指数C,2021-11-15,1.4133,1.4133,-3.51,-1.73,0.65,6.91,59.60,,,,,41.33,46.47,0.00%
7,8,163114,申万菱信中证环保产业指数(LOF)A,2021-11-12,1.8975,3.1777,0.67,2.58,11.97,11.43,58.52,84.03,183.51,204.36,58.63,176.85,83.5461,0.12%
8,9,010419,申万菱信中证环保产业指数(LOF)C,2021-11-12,1.8447,1.8447,0.67,2.57,11.96,11.35,58.29,83.52,,,58.22,84.47,83.0423,0.00%
9,10,164304,新华中证环保产业指数,2021-11-12,1.7739,1.7739,0.68,2.57,12.19,12.10,57.96,79.72,163.63,167.39,56.43,103.62,79.2094,0.10%
10,11,164905,交银国证新能源指数(LOF)A,2021-11-15,1.6524,,-3.34,-4.01,3.26,6.94,56.36,66.24,188.37,185.73,45.91,73.55,71.2927,0.12%
11,12,161028,富国中证新能源汽车指数(LOF)A,2021-11-15,1.5770,1.6580,-3.49,-4.83,3.21,2.80,56.14,76.63,264.98,297.98,48.63,140.44,83.6895,0.12%
12,13,160643,鹏华空天军工指数(LOF)A,2021-11-12,1.8447,1.8447,3.76,8.23,23.66,10.65,55.79,52.61,132.83,152.98,17.05,84.47,48.1092,0.12%
13,14,010364,鹏华空天军工指数(LOF)C,2021-11-12,1.4794,1.4794,3.76,8.23,23.64,10.63,55.73,52.47,,,16.96,47.94,47.9844,0.00%
14,15,009067,国泰中证新能源汽车ETF联接A,2021-11-15,2.9520,2.9520,-3.36,-4.67,3.21,2.91,55.10,76.03,,,49.23,195.20,82.7958,0.10%
15,16,009068,国泰中证新能源汽车ETF联接C,2021-11-15,2.9381,2.9381,-3.37,-4.68,3.18,2.82,54.86,75.49,,,48.82,193.81,82.2514,0.00%
16,17,011512,天弘中证新能源车A,2021-11-15,1.5732,1.5732,-3.54,-4.81,3.36,3.21,53.59,,,,,57.32,63.09,0.10%
17,18,011513,天弘中证新能源车C,2021-11-15,1.5713,1.5713,-3.54,-4.82,3.35,3.16,53.43,,,,,57.13,62.9,0.00%
18,19,001064,广发中证环保ETF联接A,2021-11-15,1.3311,1.3311,-2.87,-2.57,2.42,8.64,49.75,68.58,150.96,151.96,46.69,33.11,73.7543,0.12%
19,20,002984,广发中证环保ETF联接C,2021-11-15,1.3145,1.3145,-2.87,-2.58,2.40,8.58,49.60,68.25,149.95,150.48,46.43,74.94,73.4016,0.00%
20,21,160630,鹏华国防A,2021-11-12,1.5510,1.4190,3.61,8.08,21.08,6.74,47.71,46.61,122.39,133.61,12.07,46.27,42.1233,0.12%
21,22,012041,鹏华国防C,2021-11-12,1.4090,1.4090,3.60,8.05,21.05,6.74,47.54,,,,,40.90,40.9,0.00%
22,23,160225,国泰国证新能源汽车指数,2021-11-15,2.4194,2.4194,-3.24,-4,3.20,1.07,46.62,61.41,221.81,230.34,38.77,139.51,66.3207,0.12%
