,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,000689,前海开源新经济混合A,2021-11-15,3.4837,3.5937,-2.38,0.20,12.28,10.53,113.59,151.89,249.42,283.67,106.38,282.86,159.9271,0.15%
1,2,009644,东方阿尔法优势产业混合A,2021-11-12,2.4166,2.4166,0.58,2.32,13.68,9.06,87.17,129.65,,,84.15,141.66,129.9990,0.15%
2,3,009645,东方阿尔法优势产业混合C,2021-11-12,2.4003,2.4003,0.58,2.31,13.64,8.93,86.72,128.53,,,83.37,140.03,128.9052,0.00%
3,4,002190,农银新能源主题,2021-11-12,4.7310,4.7310,0.48,2.61,14.87,14.55,86.17,111.85,427.72,480.63,69.63,373.10,109.8191,0.15%
4,5,004390,平安转型创新混合A,2021-11-15,3.6945,3.7845,-1.32,0.73,11.58,13.71,82.91,93.52,215.39,344.26,72.71,302.24,94.0753,0.15%
5,6,000209,信诚新兴产业混合A,2021-11-12,5.5982,5.5982,-0.06,3.04,15.93,8.22,82.77,149.47,328.65,427.63,93.51,459.82,146.6167,0.15%
6,7,700003,平安策略先锋混合,2021-11-15,6.4870,6.5870,-1.16,0.93,11.40,13.43,82.27,95.33,215.52,375.94,73.77,609.79,95.6768,0.15%
7,8,004391,平安转型创新混合C,2021-11-15,3.5947,3.6797,-1.33,0.72,11.51,13.48,82.19,91.98,210.37,336.99,71.52,289.67,92.5634,0.00%
8,9,005939,工银新能源汽车混合A,2021-11-12,4.7602,4.7602,1.79,4.48,20.45,11.29,81.93,108.46,321.93,,71.50,376.02,105.2961,0.15%
9,10,005940,工银新能源汽车混合C,2021-11-12,4.6611,4.6611,1.79,4.47,20.41,11.17,81.56,107.63,318.64,,70.90,366.11,104.4791,0.00%
10,11,398021,中海能源策略混合,2021-11-15,1.7435,2.0535,-4.16,-3.86,8.12,14.35,80.21,105.43,169.18,206.85,75.38,154.65,111.4120,0.15%
11,12,167001,平安鼎泰混合(LOF),2021-11-12,2.2680,2.2680,0.12,2.06,9.07,7.32,78.04,96.50,196.47,266.10,68.64,126.80,96.0581,0.15%
12,13,010135,泰达高研发6个月持有混合A,2021-11-15,1.5181,1.5181,-3.83,-4.70,11.84,7.35,76.67,57.79,,,59.26,51.81,,0.15%
13,14,010136,泰达高研发6个月持有混合C,2021-11-15,1.5130,1.5130,-3.83,-4.70,11.81,7.27,76.40,57.33,,,58.85,51.30,,0.00%
14,15,400015,东方新能源汽车混合,2021-11-12,4.6576,5.1176,0.13,2.60,11.85,3.55,74.98,106.43,327.77,354.89,65.90,521.02,102.7953,0.15%
15,16,167002,平安鼎越混合(LOF),2021-11-12,3.1435,3.1435,0.09,2.84,10.12,8.34,73.58,91.75,193.29,285.66,64.94,214.35,91.3152,0.15%
16,17,001933,华商新兴活力混合,2021-11-15,2.9510,2.9510,-2.45,0.34,9.70,12.68,73.49,95.17,203.29,242.74,68.34,195.10,100.5968,0.15%
17,18,001822,华商智能生活灵活配置混合,2021-11-15,3.0930,3.0930,-2.43,0.36,10.50,13.42,72.31,96.13,211.79,292.02,68.46,209.30,101.6539,0.15%
