,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,005669,前海开源公用事业股票,2021-11-15,3.3188,3.3188,-2.65,-1.91,5.42,7.42,107.22,151.77,221.40,244.35,99.76,231.88,160.3284,0.15%
1,2,001245,工银生态环境股票,2021-11-12,3.0010,3.0010,1.39,2.67,18.24,8.77,86.51,104.29,292.80,431.15,67.75,200.10,105.2668,0.15%
2,3,009147,建信新能源行业股票,2021-11-12,2.9148,2.9148,0.65,1.66,14.77,11.72,79.18,110.14,,,68.62,191.48,109.1111,0.15%
3,4,000828,泰达转型机遇股票A,2021-11-15,3.8190,4.0390,-3.83,-4.74,11.05,4.86,72.73,106.99,263.37,450.29,69.28,358.91,116.8760,0.12%
4,5,011328,景顺长城新能源产业股票A,2021-11-12,1.7210,1.7210,0.57,4.06,21.12,10.12,71.24,,,,,72.10,72.1,0.15%
5,6,011329,景顺长城新能源产业股票C,2021-11-12,1.7197,1.7197,0.57,4.05,21.11,10.08,71.15,,,,,71.97,71.97,0.00%
6,7,005927,创金合信新能源汽车股票A,2021-11-12,3.5564,3.5564,0.16,1.89,8.88,-0.32,67.73,110.50,268.31,282.12,64.81,255.64,105.7030,0.15%
7,8,005928,创金合信新能源汽车股票C,2021-11-12,3.4674,3.4674,0.15,1.87,8.81,-0.49,67.14,109.06,263.27,274.21,63.82,246.74,104.3012,0.00%
8,9,008009,华商高端装备制造股票,2021-11-15,2.9103,2.9103,-2.92,-0.33,6.04,7.79,66.37,71.25,,,52.21,191.03,76.2109,0.15%
9,10,004925,长信低碳环保行业量化股票A,2021-11-15,2.8889,2.8889,-4.10,-6.39,1.22,4.99,66.33,83.68,245.31,268.95,53.83,188.89,92.6644,0.15%
10,11,000409,鹏华环保产业股票,2021-11-12,6.2280,6.2280,0.45,3.37,15.59,10.25,64.63,71.38,266.14,328.63,49.39,522.80,71.7595,0.15%
11,12,006081,海富通电子传媒股票A,2021-11-15,3.5540,3.5540,-3.51,0.13,9.10,7.41,64.46,68.90,168.31,,56.57,255.40,79.6371,0.15%
12,13,006080,海富通电子传媒股票C,2021-11-15,3.4417,3.4417,-3.51,0.11,9.02,7.19,63.80,67.56,164.46,,55.49,244.17,78.2292,0.00%
13,14,011146,创金气候变化责任投资股票A,2021-11-12,1.6167,1.6167,0.27,1.97,9.14,-0.04,62.83,,,,59.60,61.67,61.67,0.15%
14,15,011147,创金气候变化责任投资股票C,2021-11-12,1.6112,1.6112,0.27,1.96,9.10,-0.14,62.50,,,,59.05,61.12,61.12,0.00%
15,16,501057,汇添富中证新能源汽车A,2021-11-15,3.2623,3.2623,-3.49,-4.78,3.64,2.41,61.13,81.93,284.71,300.68,52.66,226.23,88.3959,0.12%
16,17,160634,鹏华中证环保产业指数(LOF),2021-11-12,1.8460,1.3150,0.71,2.56,12.15,11.61,61.08,81.51,166.93,178.07,57.51,40.65,80.9804,0.12%
17,18,501058,汇添富中证新能源汽车C,2021-11-15,3.2304,3.2304,-3.49,-4.78,3.62,2.34,60.92,81.47,282.79,297.69,52.33,223.04,87.9288,0.00%
18,19,001410,信达澳银新能源产业股票,2021-11-12,5.5770,5.6390,1.03,3.76,12.55,5.09,60.67,55.39,187.03,351.21,51.14,483.86,56.6573,0.15%
19,20,010805,东财新能源车A,2021-11-15,1.6394,1.6394,-3.52,-4.82,3.22,3.10,60.66,,,,55.69,63.94,69.93,0.12%
20,21,006257,信达澳银先进智造股票型,2021-11-12,3.4242,3.4242,1.02,3.72,12.11,5.44,60.55,56.04,183.53,,51.35,242.42,56.9582,0.15%
21,22,003853,金鹰信息产业股票A,2021-11-12,4.5309,4.8674,0.78,3.11,11.31,2.01,60.45,73.67,248.62,383.08,47.25,403.27,71.0256,0.12%
22,23,010806,东财新能源车C,2021-11-15,1.6335,1.6335,-3.53,-4.83,3.19,3,60.35,,,,55.16,63.35,69.32,0.00%
23,24,005885,金鹰信息产业股票C,2021-11-12,4.5187,4.8372,0.78,3.10,11.27,1.91,60.13,72.98,245.92,377.73,46.74,378.66,70.3524,0.00%
24,25,011102,天弘中证光伏产业指数A,2021-11-15,1.4156,1.4156,-3.50,-1.72,0.67,6.97,59.77,,,,,41.56,46.7,0.10%
25,26,011103,天弘中证光伏产业指数C,2021-11-15,1.4133,1.4133,-3.51,-1.73,0.65,6.91,59.60,,,,,41.33,46.47,0.00%
