,基金代码,基金简称,2021-12-06-单位净值,2021-12-06-累计净值,2021-12-03-单位净值,2021-12-03-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
0,011060,西部利得策略优选混合C,1.3640,1.3640,1.3370,1.3370,0.0270,2.02,开放申购,开放赎回,0.00%
1,671010,西部利得策略优选混合A,1.3710,1.3710,1.3440,1.3440,0.0270,2.01,开放申购,开放赎回,0.15%
2,000803,工银研究精选股票,3.5820,3.5820,3.5260,3.5260,0.0560,1.59,开放申购,开放赎回,0.15%
3,007674,工银产业升级股票A,1.6017,1.6017,1.5780,1.5780,0.0237,1.50,开放申购,开放赎回,0.15%
4,000423,前海开源事件驱动混合A,2.1120,2.1120,2.0810,2.0810,0.0310,1.49,开放申购,开放赎回,0.15%
5,007675,工银产业升级股票C,1.5769,1.5769,1.5537,1.5537,0.0232,1.49,开放申购,开放赎回,0.00%
6,001865,前海开源事件驱动混合C,1.9220,1.9220,1.8940,1.8940,0.0280,1.48,开放申购,开放赎回,0.15%
7,003232,创金合信金融地产A,1.1564,1.2548,1.1395,1.2365,0.0169,1.48,开放申购,开放赎回,0.15%
8,003233,创金合信金融地产C,1.1306,1.2385,1.1141,1.2204,0.0165,1.48,开放申购,开放赎回,0.00%
9,013659,中融金融鑫选3个月持有混合A,1.0266,1.0266,1.0127,1.0127,0.0139,1.37,开放申购,封闭期,1.50%
10,013660,中融金融鑫选3个月持有混合C,1.0259,1.0259,1.0121,1.0121,0.0138,1.36,开放申购,封闭期,0.00%
11,001719,工银国家战略股票,2.4090,2.4090,2.3770,2.3770,0.0320,1.35,开放申购,开放赎回,0.15%
12,004836,中融鑫价值混合A,1.2196,1.2196,1.2034,1.2034,0.0162,1.35,开放申购,开放赎回,0.15%
13,004837,中融鑫价值混合C,1.1361,1.1361,1.1210,1.1210,0.0151,1.35,开放申购,开放赎回,0.00%
14,004496,前海开源多元策略混合A,2.3878,2.3878,2.3566,2.3566,0.0312,1.32,开放申购,开放赎回,0.15%
15,004497,前海开源多元策略混合C,2.3495,2.3495,2.3188,2.3188,0.0307,1.32,开放申购,开放赎回,0.15%
16,501047,汇添富中证全指证券公司指数A,1.1861,1.1861,1.1707,1.1707,0.0154,1.32,开放申购,开放赎回,0.08%
17,012405,天弘国证建筑材料指数发起式A,1.0460,1.0460,1.0324,1.0324,0.0136,1.32,开放申购,开放赎回,0.10%
18,501048,汇添富中证全指证券公司指数C,1.1876,1.1876,1.1723,1.1723,0.0153,1.31,开放申购,开放赎回,0.00%
19,012419,天弘国证建筑材料指数发起式C,1.0458,1.0458,1.0323,1.0323,0.0135,1.31,开放申购,开放赎回,0.00%
20,008591,天弘中证全指证券公司ETF联接C,1.2423,1.2423,1.2264,1.2264,0.0159,1.30,开放申购,开放赎回,0.00%
21,160633,鹏华券商A,1.1650,0.6680,1.15,0.6620,0.0150,1.30,开放申购,开放赎回,0.12%
22,161027,富国中证全指证券公司指数(LOF)A,1.0890,0.6490,1.0750,0.6440,0.0140,1.30,开放申购,开放赎回,0.12%
23,020018,国泰金鹿混合,2.1243,2.5303,2.0973,2.5048,0.0270,1.29,开放申购,开放赎回,0.15%
24,160516,博时中证全指证券公司指数(LOF),1.3853,0.9589,1.3676,0.9466,0.0177,1.29,开放申购,开放赎回,0.10%
25,008590,天弘中证全指证券公司ETF联接A,1.2472,1.2472,1.2313,1.2313,0.0159,1.29,开放申购,开放赎回,0.10%
26,006098,华宝券商ETF联接A,1.6014,1.6014,1.5811,1.5811,0.0203,1.28,开放申购,开放赎回,0.10%
27,007531,华宝券商ETF联接C,1.5860,1.5860,1.5659,1.5659,0.0201,1.28,开放申购,开放赎回,0.00%
28,161720,招商中证全指证券公司指数(LOF)A,1.2194,0.7641,1.2040,0.7588,0.0154,1.28,限大额,开放赎回,0.10%
29,004069,南方中证全指证券公司ETF联接A,1.2080,1.2080,1.1927,1.1927,0.0153,1.28,开放申购,开放赎回,0.12%
30,004070,南方中证全指证券公司ETF联接C,1.1851,1.1851,1.1701,1.1701,0.0150,1.28,开放申购,开放赎回,0.00%
31,502010,易方达中证全指证券公司指数(LOF)A,1.3201,0.8841,1.3036,0.8739,0.0165,1.27,开放申购,开放赎回,0.10%
32,012874,易方达中证全指证券公司指数(LOF)C,1.3183,1.3183,1.3018,1.3018,0.0165,1.27,开放申购,开放赎回,0.00%
